country,continent,temperature_celsius,wind_mph,wind_kph,humidity,cloud,precip_mm,precip_in,pressure_mb,pressure_in,visibility_km,visibility_miles,uv_index,gust_mph,gust_kph,air_quality_Carbon_Monoxide,air_quality_Ozone,air_quality_Nitrogen_dioxide,air_quality_Sulphur_dioxide,air_quality_PM2.5,air_quality_PM10,air_quality_us-epa-index,air_quality_gb-defra-index,moon_illumination,air_quality_condition,human_health_risk,remarks                                                                                                                  
Afghanistan,Asia,18.06666667,2.616666667,4.258333333,33.58333333,16.08333333,0.05,0.001666667,1009.8333333333300,29.815,10,6,1.916666667,3.6,5.791666667,918.4833333333330,64.81666667,7.408333333,0.591666667,14.63333333,25.675,1.333333333,1.583333333,80.58333333,Unhealthy,Serious,Industrial Emissions   Conflicts                                                                                                                  
Albania,Europe,21.25,4.258333333,6.866666667,73.41666667,41.66666667,0.375,0.015,1013.3333333333300,29.92166667,10,6,1.416666667,9.233333333,14.88333333,247,48.79166667,4.458333333,0.541666667,7.975,10.49166667,1.166666667,1.333333333,80.58333333,Satisfactory,Low,None                                                                                                                  
Algeria,Africa,24.83333333,5.6,9.008333333,68.41666667,33.33333333,0.533333333,0.020833333,1014.0833333333300,29.945,9.291666667,5.5,1.5,12.53333333,20.16666667,273.275,65.93333333,18.44166667,4.158333333,18.725,82.00833333,1.25,1.916666667,80.58333333,Satisfactory,Low,None                                                                                                                  
Andorra,Europe,10.83333333,3.4,5.491666667,72.25,22.91666667,0.1,0.003333333,1019.9166666666700,30.11416667,9.25,5.5,1.25,5.783333333,9.333333333,172.7416667,53.41666667,1.466666667,0.375,4.3,12.45,1,1.083333333,80.58333333,Satisfactory,Low,None                                                                                                                  
Angola,Africa,22,5.483333333,8.816666667,87.66666667,54.16666667,0.008333333,0,1014.5,29.955,9,5,1.416666667,9.758333333,15.69166667,589.9583333333330,65.75833333,7.45,4.45,19.16666667,37.55,1.25,1.75,80.58333333,Moderate,Concerning,None                                                                                                                  
Antigua and Barbuda,America,28.5,7.208333333,11.575,76.66666667,42.66666667,0.066666667,0.001666667,1014,29.94,10,6,1.416666667,19.44166667,31.29166667,209.875,33.85,0.8,0.758333333,3.191666667,7.758333333,1,1,80.58333333,Satisfactory,Low,None                                                                                                                  
Argentina,America,12.41666667,8.108333333,13.05,71.5,14.58333333,0.025,0.000833333,1016.5833333333300,30.01916667,10,6,1,11.51666667,18.53333333,467.025,28.23333333,24.025,8.108333333,5.525,7.566666667,1.083333333,1.083333333,80.58333333,Acceptable,Slight Concern,None                                                                                                                  
Armenia,Asia,23.75,6,9.658333333,42.41666667,4.166666667,0,0,1011.8333333333300,29.87666667,10,6,1.916666667,10.78333333,17.375,201.8166666666670,49.05,3.35,0.475,5.358333333,9.375,1.083333333,1.166666667,80.58333333,Satisfactory,Low,None                                                                                                                  
Australia,Australia,9.916666667,9.516666667,15.29166667,66.16666667,25,0.016666667,0.000833333,1018.75,30.0825,10,6,3.166666667,7.833333333,12.60833333,228.7833333333330,34.75833333,4.325,0.55,3.15,4.666666667,1,1.083333333,80.58333333,Satisfactory,Low,None                                                                                                                  
Austria,Europe,15.83333333,5.883333333,9.45,76.83333333,10.41666667,0.008333333,0,1018.3333333333300,30.0725,10,6,1.25,8.341666667,13.44166667,422.6666666666670,24.94166667,23.30833333,2.308333333,9.783333333,12.4,1.083333333,1.416666667,80.58333333,Acceptable,Slight Concern,None                                                                                                                  
Azerbaijan,Asia,24.375,8.591666667,13.825,68.91666667,14,0,0,1012.1666666666700,29.88666667,10,6,1.5,12.98333333,20.90833333,241.7166667,67.80833333,7.05,1.066666667,9.041666667,27.55833333,1.25,1.333333333,80.58333333,Satisfactory,Low,None                                                                                                                  
Bahamas,America,29.73333333,10.24166667,16.51666667,69.41666667,50.66666667,0,0,1013.8333333333300,29.9375,10,6,6.166666667,16.875,27.15,236.8583333,77.45,1.35,1.525,4.2,9.525,1,1.083333333,80.58333333,Satisfactory,Low,None                                                                                                                  
Bahrain,Asia,34.08333333,6.133333333,9.85,66.75,0,0,0,1001.6666666666700,29.58,9.041666667,5.25,1.666666667,10.49166667,16.85,350.7583333333330,147.225,7.008333333,13.85833333,51.73333333,104.4416667,2.916666667,5.666666667,80.58333333,Acceptable,Slight Concern,None                                                                                                                  
Bangladesh,Asia,28.625,5.175,8.308333333,78,58.08333333,0.091666667,0.003333333,1003.1666666666700,29.62583333,9.916666667,5.916666667,2.083333333,7.908333333,12.73333333,791.3416666666670,23.1,20.26666667,8.65,58.45,66.05833333,2.916666667,6.083333333,80.58333333,Unhealthy,Serious,Population Density   Brick Kilns                                                                                                                  
Barbados,America,28.33333333,11.925,19.20833333,82.5,35.41666667,0.175,0.005833333,1012.25,29.88916667,10,6,1.416666667,18.93333333,30.45833333,257.7083333333330,20.875,3.858333333,1.583333333,3.008333333,7.616666667,1,1,80.58333333,Satisfactory,Low,None                                                                                                                  
Belarus,Europe,12.91666667,4.316666667,6.891666667,92.66666667,5.166666667,0.208333333,0.0075,1018.4166666666700,30.07416667,9.416666667,5.583333333,1.416666667,11.9,19.18333333,228.3666666666670,44.26666667,5.2,2.075,4.608333333,5.416666667,1,1,80.58333333,Satisfactory,Low,None                                                                                                                  
Belgium,Europe,16.25,3.675,5.904166667,86.95833333,15.625,0.216666667,0.00875,1016.625,30.02041667,9.258333333,5.416666667,1.333333333,10.35416667,16.6625,274.5416666666670,41.3125,19.59166667,3.158333333,15.22083333,20.63333333,1.416666667,1.791666667,80.58333333,Satisfactory,Low,None                                                                                                                  
Belize,America,29.33333333,6.158333333,9.9,80.5,44.25,0.133333333,0.005,1010.25,29.8325,9.916666667,5.916666667,6.083333333,9.266666667,14.91666667,234.5,18.775,0.275,0.283333333,2.308333333,2.533333333,1,1,80.58333333,Satisfactory,Low,None                                                                                                                  
Benin,Africa,25.75,10.41666667,16.75,90.25,45.83333333,2.066666667,0.080833333,1013.8333333333300,29.935,9.266666667,5.416666667,1.416666667,11.89166667,19.14166667,509.8666667,32.54166667,2.466666667,1.258333333,8.525,15.28333333,1,1.083333333,80.58333333,Moderate,Concerning,None                                                                                                                  
Bhutan,Asia,11.76666667,3.591666667,5.791666667,89,47.75,0.141666667,0.005,1012.9166666666700,29.9125,7.833333333,4.583333333,1.583333333,6.25,10.075,340.7416667,21.775,1.083333333,0.166666667,8.475,9.75,1,1.166666667,80.58333333,Acceptable,Slight Concern,None                                                                                                                  
Bolivia,America,23.00833333,5.133333333,8.283333333,44.91666667,24.45833333,0.291666667,0.011666667,1008.9166666666700,29.78916667,9.833333333,5.833333333,1.208333333,7.458333333,12.00416667,312.0333333,24.21666667,0.720833333,0.220833333,7.958333333,9.1625,1.208333333,1.416666667,80.58333333,Acceptable,Slight Concern,None                                                                                                                  
Bosnia and Herzegovina,Europe,15.5,3.9,6.3,89.75,29.16666667,0.533333333,0.020833333,1018.25,30.06916667,9.75,5.833333333,1.416666667,7.366666667,11.88333333,186.925,32.48333333,3,3.3,8.4,9.741666667,1.083333333,1.166666667,80.58333333,Satisfactory,Low,None                                                                                                                  
Botswana,Africa,15.65833333,6.033333333,9.691666667,36.75,0.5,0,0,1021.5833333333300,30.1675,10,6,1.333333333,8.266666667,13.31666667,435.5916667,49.95833333,9.325,1.991666667,20.71666667,26.21666667,1.666666667,2.583333333,80.58333333,Acceptable,Slight Concern,None                                                                                                                  
Brazil,America,30.64166667,3.333333333,5.375,34.66666667,13.16666667,0,0,1007.75,29.75833333,10,6,1,6.8,10.95833333,338.7916666666670,37.99166667,0.341666667,0.325,4.508333333,6.666666667,1,1,80.58333333,Acceptable,Slight Concern,None                                                                                                                  
Brunei Darussalam,Asia,26.66666667,4.408333333,7.05,94.66666667,75,0.291666667,0.011666667,1009.5,29.81333333,9.416666667,5.5,5.75,6.241666667,10.08333333,342.7,22.33333333,3.491666667,1.691666667,3.691666667,4,1,1,80.58333333,Acceptable,Slight Concern,None                                                                                                                  
Bulgaria,Europe,18.96944444,4.547222222,7.305555556,64.22222222,39.58333333,0.202777778,0.007777778,1016.4444444444400,30.01444444,9.916666667,5.944444444,1.555555556,7.688888889,12.37222222,238.4277778,49.77777778,3.2,0.869444444,7.677777778,9.072222222,1.027777778,1.083333333,80.58333333,Satisfactory,Low,None                                                                                                                  
Burkina Faso,Africa,25.95833333,6.108333333,9.783333333,82.33333333,35.58333333,0.358333333,0.0125,1013.0833333333300,29.91583333,9.75,5.75,1.5,13.56666667,21.84166667,1015.2666666666700,6.025,6.45,2.35,32.525,52.80833333,2.25,3.666666667,80.58333333,Very Unhealthy,Health Alert,Biomass Burning                                                                                                                  
Burundi,Africa,22.7,3.641666667,5.875,63.58333333,34.75,0.108333333,0.003333333,1013.6666666666700,29.93333333,9.75,5.75,1.5,4.075,6.566666667,783.5750000000000,21.91666667,5.941666667,0.866666667,36.45833333,78.79166667,2.416666667,4,80.58333333,Unhealthy,Serious,Deforestation Agricultural                                                                                                                  
Cambodia,Asia,27.66666667,4.458333333,7.175,89.08333333,60.41666667,0.091666667,0.0025,1005.3333333333300,29.69,9.416666667,5.416666667,6.25,9.075,14.64166667,576.0666666666670,15.20833333,5.533333333,2.458333333,11.93333333,18.95833333,1.333333333,1.916666667,80.58333333,Moderate,Concerning,None                                                                                                                  
Cameroon,Africa,18.025,2.908333333,4.683333333,95.33333333,69.08333333,1.583333333,0.060833333,1015.5,29.99083333,5.583333333,3.166666667,1.333333333,4.883333333,7.858333333,652,7.125,3.333333333,0.566666667,15.03333333,21.86666667,1.333333333,1.833333333,80.58333333,Moderate,Concerning,None                                                                                                                  
Canada,America,22.33333333,7.708333333,12.38333333,72.66666667,47.91666667,0,0,1012.0833333333300,29.88416667,24,14,5.416666667,10.975,17.65833333,263.2833333,48.75833333,3.775,0.525,7.075,7.516666667,1.166666667,1.25,80.58333333,Satisfactory,Low,None                                                                                                                  
Cape Verde,Atlantic,27,9.316666667,14.975,84.41666667,41.66666667,0.2,0.006666667,1012.3333333333300,29.8925,9.333333333,5.5,1.5,14.16666667,22.8,243.8083333,38.1,1.316666667,0.283333333,8.708333333,36.04166667,1.166666667,1.416666667,80.58333333,Satisfactory,Low,None                                                                                                                  
Central African Republic,Africa,23.68333333,2.666666667,4.316666667,92.08333333,38.91666667,0.508333333,0.02,1013.25,29.9175,7.916666667,4.416666667,1.5,4.083333333,6.575,366.0583333,0.233333333,0.558333333,0.175,5.391666667,7.325,1.166666667,1.166666667,80.58333333,Acceptable,Slight Concern,None                                                                                                                  
Chad,Africa,26.48333333,6.041666667,9.716666667,82.91666667,12.25,0.008333333,0,1011.0833333333300,29.85416667,8,4.416666667,1.5,12.39166667,19.95,613.6250000000000,12.73333333,1.908333333,0.858333333,15.33333333,21.125,1.416666667,1.75,80.58333333,Moderate,Concerning,None                                                                                                                  
Chile,America,12.33333333,6.708333333,10.8,73.75,60.41666667,0.041666667,0.001666667,1017.75,30.0525,9.25,5.5,1.166666667,4.158333333,6.691666667,4281.3583333333300,7.525,62.475,17.78333333,314.3,377.95,5,9.916666667,80.58333333,Hazardous,Emergency,Urbanization Industrial Activities                                                                                                                  
China,Asia,23.41666667,3.1,4.966666667,87.5,8.333333333,0.25,0.01,1012.9166666666700,29.91,6.5,3.5,5.666666667,4.341666667,7,1655.5833333333300,14.65833333,48.76666667,62.55833333,274.25,311.3166667,5.25,9.416666667,80.58333333,Very Unhealthy,Health Alert,Industrialization Transportation                                                                                                                  
Comoros,Indian,21.91666667,5.808333333,9.325,78.33333333,21.83333333,0.266666667,0.010833333,1016.25,30.00833333,10,6,1.333333333,9.375,15.09166667,236.3,47.74166667,0.441666667,0.341666667,3.775,7.733333333,1,1,80.58333333,Satisfactory,Low,None                                                                                                                  
Congo,Africa,25.50833333,5.975,9.583333333,65.5,27.83333333,0.216666667,0.008333333,1013.75,29.935,9,5,1.583333333,10.01666667,16.10833333,569.6583333333330,31.8,2.508333333,0.583333333,10.625,23.46666667,1.25,1.416666667,80.58333333,Moderate,Concerning,None                                                                                                                  
Costa Rica,America,23.16666667,7.525,12.125,79.58333333,75,0.975,0.039166667,1015.5,29.98916667,9.208333333,5.5,4.166666667,4.058333333,6.516666667,537.6666666666670,22.025,18.15,14.15833333,17.99166667,19.05,1.583333333,2.083333333,80.58333333,Moderate,Concerning,None                                                                                                                  
Croatia,Europe,16.5,3.6,5.791666667,85.41666667,14.58333333,0,0,1017.4166666666700,30.045,10,6,1.416666667,6.241666667,10.03333333,268.15,37.38333333,9.616666667,0.383333333,8.9,10.975,1.083333333,1.25,80.58333333,Satisfactory,Low,None                                                                                                                  
Cuba,America,29.91666667,9.558333333,15.375,72.08333333,48.91666667,0.091666667,0.003333333,1012.1666666666700,29.88666667,8.833333333,4.833333333,5.916666667,19.425,31.25,299.0166666666670,57.09166667,7.783333333,21.49166667,6.741666667,10.19166667,1.083333333,1.166666667,80.58333333,Satisfactory,Low,None                                                                                                                  
Cyprus,Asia,25.08333333,7.3,11.73333333,73.33333333,14.58333333,0,0,1008.5833333333300,29.78416667,10,6,1.583333333,8.083333333,13.01666667,250.0833333333330,69.8,2.175,2.6,17.65,28.24166667,1.5,2.083333333,80.58333333,Satisfactory,Low,None                                                                                                                  
Czech Republic,Europe,15.58333333,6.075,9.783333333,79,27.08333333,0.15,0.005833333,1018.75,30.085,10,6,1.166666667,7.45,12,335.4666667,22.51666667,18.425,3.233333333,13.33333333,17.15833333,1.416666667,1.583333333,80.58333333,Acceptable,Slight Concern,None                                                                                                                  
Democratic Republic of Congo,Africa,25.45833333,5.833333333,9.35,65.66666667,30.66666667,0.141666667,0.005833333,1013.75,29.935,8.916666667,4.916666667,1.583333333,9.225,14.84166667,569.6583333333330,31.8,2.508333333,0.583333333,10.625,23.46666667,1.25,1.416666667,80.58333333,Moderate,Concerning,None                                                                                                                  
Denmark,Europe,15.5,6.308333333,10.13333333,85.91666667,29.16666667,0.175,0.006666667,1017.4166666666700,30.045,10,6,1.333333333,12.80833333,20.56666667,250.9083333,58.44166667,6.358333333,1.375,7.366666667,9.233333333,1.083333333,1.166666667,80.58333333,Satisfactory,Low,None                                                                                                                  
Djibouti,Africa,33.14166667,5.675,9.125,56.75,19.75,0.016666667,0.000833333,1004.0833333333300,29.65083333,9.75,5.75,2.166666667,12.225,19.66666667,323.4916667,55.8,1.125,0.958333333,30.91666667,74.425,2.083333333,3.666666667,80.58333333,Acceptable,Slight Concern,None                                                                                                                  
Dominica,America,28.125,5.016666667,8.075,86.16666667,58.66666667,0.191666667,0.006666667,1013.9166666666700,29.93666667,10,6,1.5,14.05833333,22.64166667,244.9166667,25.20833333,2.191666667,0.325,2.641666667,6.033333333,1,1,80.58333333,Satisfactory,Low,None                                                                                                                  
Dominican Republic,America,28.25,4.491666667,7.183333333,86.33333333,50,0,0,1013.0833333333300,29.9125,10,6,1.583333333,7.508333333,12.06666667,596.9333333333330,15.29166667,22.93333333,11.3,11.05,17.61666667,1.083333333,1.333333333,80.58333333,Moderate,Concerning,None                                                                                                                  
Ecuador,America,13.825,4.458333333,7.158333333,66.75,59.58333333,0.733333333,0.0275,1014.4166666666700,29.95166667,9.583333333,5.666666667,3.083333333,6.65,10.675,2227.4666666666700,23.05,84.025,37.10833333,29.71666667,32.975,2.166666667,3.25,80.58333333,Very Unhealthy,Health Alert,Deforestation Biomass Burning                                                                                                                  
Egypt,Africa,28.16666667,6.45,10.375,58.16666667,8.333333333,0,0,1010.1666666666700,29.83083333,9,5.25,1,12.26666667,19.73333333,251.5916666666670,61.6,12.65,12.31666667,20.84166667,43.70833333,1.666666667,2.333333333,80.58333333,Satisfactory,Low,None                                                                                                                  
El Salvador,America,28.25,5.766666667,9.233333333,77.16666667,35.41666667,0.275,0.010833333,1011.5,29.8625,10,6,5.166666667,4.433333333,7.125,409.7166667,54.64166667,5.158333333,9.25,17.71666667,20.38333333,1.583333333,2,80.58333333,Acceptable,Slight Concern,None                                                                                                                  
Equatorial Guinea,Africa,24.475,6.333333333,10.2,90.41666667,62.91666667,1.691666667,0.0675,1014.25,29.9525,8.833333333,5.083333333,1.416666667,9.791666667,15.76666667,414.7416666666670,42.55,0.083333333,0.108333333,3.041666667,3.366666667,1,1,80.58333333,Acceptable,Slight Concern,None                                                                                                                  
Eritrea,Africa,19.025,3.675,5.95,62.41666667,32,0.066666667,0.001666667,1012.5,29.8975,9.916666667,5.916666667,1.416666667,5.891666667,9.525,247.1416667,38.925,0.858333333,0.366666667,22.84166667,71.19166667,1.75,2.5,80.58333333,Satisfactory,Low,None                                                                                                                  
Estonia,Europe,13.91666667,6.05,9.716666667,90.08333333,35,0.008333333,0,1014.8333333333300,29.96916667,8.4,5,1.333333333,14.09166667,22.68333333,227.1166667,59.11666667,2.55,1.2,3.591666667,4.091666667,1,1,80.58333333,Satisfactory,Low,None                                                                                                                  
Ethiopia,Africa,14,4.9,7.858333333,86.75,50.58333333,0.283333333,0.010833333,1023.4166666666700,30.22333333,9.75,5.833333333,1.166666667,4.825,7.766666667,2039.9916666666700,18.575,8.291666667,2.625,73.65833333,219.6166667,3.166666667,6.5,80.58333333,Very Unhealthy,Health Alert,Biomass Burning                                                                                                                  
Fiji Islands,Pacific,26.58333333,11.05833333,17.80833333,72.16666667,59.33333333,0.066666667,0.001666667,1016.5,30.015,10,6,5.333333333,14.49166667,23.30833333,191.2333333,52.46666667,0.991666667,1.783333333,3.291666667,9.025,1,1,80.58333333,Satisfactory,Low,None                                                                                                                  
Finland,Europe,13.25,5.708333333,9.15,93.5,37.5,0.025,0.000833333,1014.4166666666700,29.95583333,9.666666667,5.75,1.333333333,13.15833333,21.18333333,264.3916666666670,43.775,6.508333333,1.833333333,5.725,7.841666667,1.083333333,1.083333333,80.58333333,Satisfactory,Low,None                                                                                                                  
France,Europe,19.33333333,4.408333333,7.108333333,76.41666667,31.25,0.158333333,0.005833333,1016.0833333333300,30.00333333,10,6,1.416666667,8.191666667,13.2,789.125,38.26666667,24.8,3.75,44.91666667,51.38333333,2.083333333,3.583333333,80.58333333,Unhealthy,Serious,Transportation Industrialization                                                                                                                  
Gabon,Africa,25.46666667,8.325,13.39166667,86.25,58.25,0.1,0.003333333,1014.0833333333300,29.94083333,9.916666667,5.916666667,1.416666667,11.325,18.25,451.7333333,42.39166667,1.416666667,1.566666667,5.533333333,11.21666667,1,1,80.58333333,Acceptable,Slight Concern,None                                                                                                                  
Gambia,Africa,25.5,4,6.483333333,93.25,66.66666667,0.475,0.016666667,1012.8333333333300,29.90583333,9.916666667,5.916666667,1.416666667,18.50833333,29.78333333,309.7333333,37.7,0.541666667,0.483333333,2.775,11.3,1,1.083333333,80.58333333,Acceptable,Slight Concern,None                                                                                                                  
